,name,company,year,Price,kms_driven,fuel_type,fuel_type_N,company_N,name_N
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,2,14,159
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,2,14,152
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,0,14,159
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,2,14,161
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,2,14,166
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,2,16,172
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,0,18,179
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,0,19,184
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,0,19,184
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,0,19,184
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,2,14,152
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,2,19,189
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,2,14,157
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,2,19,188
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,0,19,190
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,0,19,191
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,2,9,88
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,2,14,163
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,2,2,16
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,0,21,209
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,2,9,91
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,0,9,84
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,2,2,16
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,0,13,125
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,2,4,34
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,2,2,16
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,0,20,193
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,0,6,40
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,2,9,73
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,0,13,136
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,2,21,203
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,0,21,205
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,2,14,163
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,0,13,133
292,Honda Accord,Honda,2009,175000,58559,Petrol,2,8,53
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,0,13,130
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,0,2,29
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,0,6,40
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,0,14,154
297,Honda Amaze,Honda,2014,299999,37000,Petrol,2,8,54
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,2,14,152
299,Honda City,Honda,2011,284999,55000,Petrol,2,8,60
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,0,13,127
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,0,14,152
302,Honda City,Honda,2015,644999,39000,Petrol,2,8,60
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,2,8,67
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,2,22,231
305,Honda City,Honda,2014,584999,39000,Petrol,2,8,60
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,0,20,195
307,Renault Duster,Renault,2015,449999,49000,Diesel,0,19,181
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,0,14,154
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,0,14,152
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,0,13,139
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,0,9,96
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,0,14,165
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,2,14,166
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,0,13,126
315,Honda Amaze,Honda,2014,274999,35000,Petrol,2,8,54
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,0,13,139
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,0,13,126
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,0,20,195
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,0,23,245
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,2,9,78
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,0,21,212
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,2,2,23
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,0,19,182
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,0,9,96
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,0,0,2
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,2,9,77
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,0,13,133
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,0,13,121
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,0,19,191
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,0,13,125
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,2,9,88
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,2,9,106
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,0,13,144
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,2,9,88
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,2,9,105
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,2,9,79
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,2,9,101
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,0,9,106
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,2,3,32
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,2,22,236
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,2,9,70
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,0,9,93
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,0,14,163
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,0,22,237
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,2,9,104
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,0,13,116
